id,create_date,product_id,content,trip_start_date,user_name,sentiments
259,2021-06-23 17:05:17,2127104418,导游杨导人很好，也是品质可以的团，住的地方很干净，比起其他旅游团确实多不错的，满意非常开心～ ,2016-05-14,e***2,0.997327735720624
260,2021-06-23 17:05:19,3707919908,第一次跟团出去就玩的这么开心，很满意,2016-05-14,c***9,0.7350736242069366
261,2021-06-23 17:05:41,2770153335,时间特别好,2016-05-14,c***9,0.7363631992805171
141,2021-06-23 16:27:37,180309602,总的来说还是很不错的，导游人也挺好的，不会强行购物。,2016-05-14,a***9,0.9729900329787019
142,2021-06-23 16:27:39,2231027734,帮家里老人报的团，老人们十分满意。导游欢欢非常尽责，也不会强制自费项目和强制购物。,2016-05-14,a***9,0.9282576540304048
150,2021-06-23 16:27:56,1010618456,玩的很愉快,2016-05-14,c***9,0.7946884929559497
397,2021-06-24 08:51:19,4219314304,总体来说还是很划算的。全程3天最后一天还是全程购物，虽然没有强制买卖，但是导游脸色和对游客的关心程度还是会和消费程度挂钩。不过也能理解，毕竟团费真的很便宜。反正玩的时候大家还是玩的很开心滴。,2016-05-16,s***1,0.9936878035658668
258,2021-06-23 17:05:15,2127104418,非常美好的一次旅游，真的很棒~~,2016-05-18,f***9,0.9434767790159173
402,2021-06-24 08:51:29,4219314304,住宿很一般，吃的东西完全不想多评价，不过也能理解，本来对那些地方的吃的也没报太大希望，但是两个景点确实非常不错，都特别美，值得去看看，有一个购物店，导游态度也很好，没有购物也没有给我们摆脸色，总之还是不错的,2016-05-18,p***0,0.9990746937000425
399,2021-06-24 08:51:23,4219314304,九寨沟真的很美，随手一拍就是电脑桌面，大草原也不错，全程都很舒心，也没有强制消费，没有一点被坑的感觉，棒棒哒，跟团确实比自由行便宜，也方便，不用排队买票，导游也不错,2016-05-19,p***0,0.9999393993342722
403,2021-06-24 08:51:31,4219314304,餐食一般，还好自备了零食，简直不要太机智，住宿还行，导游很不错，高反有点但不严重，能克服，红景天很贵，建议去之前在药店买，草原那个有推荐骑马，胆小没去，送的两个晚会也可以看下，反正是送的，,2016-05-19,n***4,0.7601573722531783
257,2021-06-23 17:05:12,3707919908,行程很满意。价格很划算，导游很负责任，酒店太棒了。物有所值， ,2016-05-20,f***9,0.9908662429584256
398,2021-06-24 08:51:21,4219314304,导游非常好，一路都在细心解说，非常用心。 我们去的那天刚好遇到**量特别多的一天，不过还好九寨管理规范检票乘车，在进沟之后**分散，比想象中好很多。而且这个季节的九寨确实美丽依旧。 大草原也很美，就是现在还没多少花。 有一个购物店，虽然是自愿消费不强制的，由于导游用心，团内很多人都比较照顾，还是买了很多东西。我和朋友也买了很多梳子和银饰等。 餐食确实不好，所幸给我们安排的住宿还不错。 第二天晚上自愿消费的晚会一般（不是九寨千古情），不多说。,2016-05-20,n***6,0.9999999999606664
400,2021-06-24 08:51:25,4219314304,重点说下导游，表扬一下，很热情，一路上给我们唱藏歌，还提醒我们哪些东西千万不要买，他自己买了零食放在车前面，还没到目的地就被我们几个吃完了，一路上非常的耐心，大大的好评，其他的都还好，团餐也没有想象中那么遭，若尔盖很适合拍文艺范照片，哈哈，这么低的价格真的很划算,2016-05-20,n***6,0.9996999634282159
147,2021-06-23 16:27:49,1010618456,非常好，非常超值，行程安排很好，住的很不错很舒服。吃的也还OK，郑导游很负责，值得推荐,2016-05-20,f***9,0.9999740434166049
148,2021-06-23 16:27:51,2231027734,很棒！导游很棒！司机很棒！吃的很棒！住的很棒！超值！,2016-05-20,f***9,0.9999574903295678
149,2021-06-23 16:27:54,180309602,很好的一次旅游，导游也很好 ,2016-05-20,f***9,0.8034079409239296
255,2021-06-23 17:05:08,2770153335,整个行程安排非常人性化，酒店必须点赞，全程没有任何强制消费，导游周导很认真负责，总是不厌其烦的提醒大家扣好安全带等等，价格也很实惠，总之非常满意！,2016-05-20,f***9,0.9729095785608112
262,2021-06-23 17:05:43,2127104418,天时地利人和，一次非常不错的旅行，经济实惠，又省心,2016-05-21,l***5,0.9874297204269735
401,2021-06-24 08:51:27,4219314304,本次旅行非常满意，第一次游九寨沟加大草原，导游也很尽责，人很nice，最主要的是没有强制消费，出行前最怕这个了，毕竟团费这么低，很划算,2016-05-21,k***9,0.9979662215358732
392,2021-06-24 08:50:48,4219314304,导游太差劲,2016-05-25,m***1,0.03638636673609752
389,2021-06-24 08:50:42,4219314304,一路上很辛苦也很开心，不过因为吹了冷风，凉到胃，第一天晚上吐惨了T_T。。。这个季节感觉不是最好，枯水，草原也没几根青色的草。。不过能看到不同季节的景色也不错，下次秋天去～伙食在藏区实在不敢恭维，牧场的伙食却出奇的棒～自己带了点吃的，也在小超市买了些零食，小日子滋润着呢～下次再跟我家乖乖一起出来玩，店家给点优待呗，住宿条件蛮不错的，有民族特色，就是在草原上没有空调跟电热毯，冷死本宝宝(→o←),2016-05-27,p***0,0.9999943951405803
